date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Nov%202022%2021:59:36%20GMT	https://insel.gg/robots.txt		(from )
22:59:36	19045/19045	---M-Z	200	added ('OK')	text/html	etag:%22e1407f50a5e5d81:0%22	https://insel.gg/	E:/Die%20Insel%20RP/insel.gg/index.html	(from )
22:59:37	448838/448838	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Apr%202022%2019:51:03%20GMT	https://i.ibb.co/ZGMdC1f/unknown.png	E:/Die%20Insel%20RP/i.ibb.co/ZGMdC1f/unknown.png	(from https://insel.gg/)
22:59:37	6929/6929	---M--	200	added ('OK')	image/png	etag:%2299dabf50a5e5d81:0%22	https://insel.gg/assets/img/logo.png	E:/Die%20Insel%20RP/insel.gg/assets/img/logo.png	(from https://insel.gg/)
22:59:37	205440/205440	---M-Z	200	added ('OK')	text/css	etag:%228959b750a5e5d81:0%22	https://insel.gg/assets/css/bootstrap.css	E:/Die%20Insel%20RP/insel.gg/assets/css/bootstrap.css	(from https://insel.gg/)
22:59:38	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22aebdb650a5e5d81:0%22	https://insel.gg/assets/css/owl.carousel.min.css	E:/Die%20Insel%20RP/insel.gg/assets/css/owl.carousel.min.css	(from https://insel.gg/)
22:59:38	10121/10121	---M-Z	200	added ('OK')	text/css	etag:%22a4e4b650a5e5d81:0%22	https://insel.gg/assets/css/style.css	E:/Die%20Insel%20RP/insel.gg/assets/css/style.css	(from https://insel.gg/)
22:59:38	4453/4453	---M-Z	200	added ('OK')	text/css	etag:%22a4e4b650a5e5d81:0%22	https://insel.gg/assets/css/responsive.css	E:/Die%20Insel%20RP/insel.gg/assets/css/responsive.css	(from https://insel.gg/)
22:59:39	6231/6231	---M--	200	added ('OK')	image/png	etag:%22961c050a5e5d81:0%22	https://insel.gg/assets/img/youtube.png	E:/Die%20Insel%20RP/insel.gg/assets/img/youtube.png	(from https://insel.gg/)
22:59:39	14398/14398	---M--	200	added ('OK')	image/png	etag:%224a5cbd50a5e5d81:0%22	https://insel.gg/assets/img/dtl.png	E:/Die%20Insel%20RP/insel.gg/assets/img/dtl.png	(from https://insel.gg/)
22:59:39	347843/347843	---M--	200	added ('OK')	image/png	etag:%224b35bd50a5e5d81:0%22	https://insel.gg/assets/img/insel-shop-1.png	E:/Die%20Insel%20RP/insel.gg/assets/img/insel-shop-1.png	(from https://insel.gg/)
